date,ticker,close,volume,short_volume,short_exempt_volume,short_ratio_pct,short_interest,days_to_cover,borrow_fee_pct,utilization_pct,rebate_rate_pct,shares_outstanding,avg_daily_volume,fail_to_deliver,dark_pool_short_volume,dark_pool_short_ratio_pct,price_change_pct,squeeze_score,sentiment_tag,market_cap,exchange,country,data_type
2025-08-05,TSLA,27746,824028,177484,3237,21.54,140478382,174.24,2.71,81.19,0.33,3096633353,806232,17990,84191,10.22,1.63,100,squeeze_watch,85919189012338,NYSE,US,short_interest
2025-08-06,TSLA,29782,567873,63587,1169,11.2,18552044,31.03,0.17,58.11,-1.15,582428521,597838,12036,27203,4.79,-6.16,76.86,volatile,17345886212422,NASDAQ,US,short_interest
2025-08-07,TSLA,28674,481687,40145,381,8.33,15557247,26.77,0.31,62.13,0.34,253689040,581202,9113,18364,3.81,1.08,70.42,bearish,7274279532960,NYSE,US,short_interest
2025-08-08,TSLA,29093,496026,180423,1947,36.37,109194390,168.37,1.08,83.28,-0.33,803185579,648522,682,82309,16.59,2.52,100,highly_bearish,23367078049847,NYSE,US,short_interest
2025-08-11,TSLA,29346,630292,219991,1192,34.9,332080180,445.23,4.8,60.07,-1.0,4979377081,745869,12472,59327,9.41,1.73,100,neutral,146124799819026,NYSE,US,short_interest
2025-08-12,TSLA,28763,300000,84054,323,28.02,73820878,238.21,2.49,84.43,-1.11,1210085769,309897,8116,23331,7.78,8.24,100,squeeze_watch,34805696973747,NASDAQ,US,short_interest
2025-08-13,TSLA,27524,1043264,334830,4578,32.09,274610490,218.04,0.5,75.28,-0.38,2069520037,1259455,29679,72483,6.95,4.79,100,volatile,56961469498388,NYSE,US,short_interest
2025-08-14,TSLA,28198,878360,121710,1198,13.86,269486901,249.13,2.67,51.54,-0.94,1874662426,1081719,1903,43597,4.96,3.0,100,highly_bearish,52861731088348,NYSE,US,short_interest
2025-08-15,TSLA,28457,373292,29882,135,8.0,158873087,442.23,0.85,65.59,0.1,892055240,359251,8077,7951,2.13,-4.75,100,volatile,25385215964680,NYSE,US,short_interest
2025-08-18,TSLA,28663,343481,79313,1395,23.09,285641814,615.42,2.63,72.48,0.35,4336326638,464142,5031,16620,4.84,6.91,100,highly_bearish,124292130424994,NYSE,US,short_interest
2025-08-19,TSLA,29721,635864,243212,2248,38.25,379874151,685.18,3.86,46.5,0.79,2685005392,554413,18235,91327,14.36,2.56,100,highly_bearish,79801045255632,NASDAQ,US,short_interest
2025-08-20,TSLA,28922,343391,36319,127,10.58,36414031,90.2,2.61,59.25,-0.08,507020519,403715,4355,16449,4.79,6.39,100,bearish,14664047450518,NYSE,US,short_interest
2025-08-21,TSLA,29157,661438,248755,4066,37.61,97875492,161.36,1.81,56.56,-0.06,665441007,606577,11628,37341,5.65,-1.68,100,bearish,19402263441099,NASDAQ,US,short_interest
2025-08-22,TSLA,29455,541394,79384,908,14.66,649081858,1143.82,3.52,46.1,-0.36,3922302985,567469,15042,24930,4.6,3.45,100,bearish,115531434423175,NASDAQ,US,short_interest
2025-08-25,TSLA,28718,629747,106280,386,16.88,13890880,25.55,2.07,48.24,-1.21,829313957,543682,13939,20758,3.3,0.9,81.13,highly_bearish,23816238217126,NASDAQ,US,short_interest
2025-08-26,TSLA,28630,1743856,275040,4233,15.77,269204285,133.03,0.99,82.17,0.69,2842065738,2023673,42483,126090,7.23,2.08,100,highly_bearish,81368342078940,NASDAQ,US,short_interest
2025-08-27,TSLA,28877,408296,85014,454,20.82,86370562,160.09,4.91,87.15,0.25,1776144778,539526,9249,38089,9.33,0.5,100,squeeze_watch,51289732754306,NYSE,US,short_interest
2025-08-28,TSLA,28954,300000,92977,709,30.99,378879452,1011.07,4.8,92.08,0.32,4050572440,374731,529,40566,13.52,-1.51,100,highly_bearish,117280274427760,NYSE,US,short_interest
2025-08-29,TSLA,28901,927451,116510,2068,12.56,461979109,619.37,0.78,63.54,0.78,4765737877,745890,289,28968,3.12,1.59,100,bearish,137734590383177,NYSE,US,short_interest
2025-09-01,TSLA,29148,452872,126437,766,27.92,503189195,1087.96,1.07,93.58,-0.5,4440143419,462506,2422,49116,10.85,-1.15,100,highly_bearish,129421300377012,NYSE,US,short_interest
2025-09-02,TSLA,28461,701235,186555,2776,26.6,281453156,336.7,0.24,92.32,-0.47,3385655291,835911,19394,91134,13.0,1.38,100,bearish,96359135237151,NASDAQ,US,short_interest
2025-09-03,TSLA,28979,569820,131160,586,23.02,118299465,190.71,1.11,53.45,-1.0,4874944504,620327,5238,54943,9.64,3.75,100,highly_bearish,141271016781416,NYSE,US,short_interest
2025-09-04,TSLA,28163,371102,121566,1067,32.76,149127876,394.25,2.7,83.52,-1.32,2971813269,378261,9189,57258,15.43,0.88,100,neutral,83695177094847,NASDAQ,US,short_interest
2025-09-05,TSLA,29184,1332376,428516,2995,32.16,21259226,17.97,4.23,66.23,-0.02,1235398292,1182764,1592,203249,15.25,-3.37,100,volatile,36053863753728,NYSE,US,short_interest
2025-09-08,TSLA,28981,558957,84485,1632,15.11,297970836,591.79,2.72,46.05,-0.79,3164618184,503506,4836,16990,3.04,0.03,100,volatile,91713799590504,NYSE,US,short_interest
2025-09-09,TSLA,29691,558218,132307,1219,23.7,8509417,10.93,4.17,55.61,-0.74,623187629,778818,6212,35448,6.35,-4.04,79.84,neutral,18503063892639,NASDAQ,US,short_interest
2025-09-10,TSLA,29540,479660,178667,1182,37.25,405920317,965.23,2.87,65.78,-1.16,4026820680,420544,13504,63204,13.18,-2.64,100,neutral,118952282887200,NASDAQ,US,short_interest
2025-09-11,TSLA,29368,361781,53936,555,14.91,74469190,153.82,3.71,97.84,-0.98,1296318328,484128,6648,25188,6.96,-0.62,100,volatile,38070276656704,NASDAQ,US,short_interest
2025-09-12,TSLA,27684,1568593,267010,2921,17.02,253972928,132.65,2.59,54.42,-0.21,2507206044,1914595,4003,123031,7.84,-1.58,100,highly_bearish,69409492122096,NASDAQ,US,short_interest
2025-09-15,TSLA,29058,798290,221943,4152,27.8,153267327,164.01,4.08,51.54,0.24,1477218403,934517,2851,89827,11.25,0.5,100,neutral,42925012354374,NASDAQ,US,short_interest
2025-09-16,TSLA,28362,610347,176326,3041,28.89,651679765,1123.26,3.52,73.03,-0.96,3737356053,580166,8429,78368,12.84,-2.04,100,bearish,105998892375186,NYSE,US,short_interest
2025-09-17,TSLA,28840,337095,67273,170,19.96,23484836,57.64,2.89,60.42,-0.98,814904401,407443,9603,24284,7.2,-0.04,100,neutral,23501842924840,NYSE,US,short_interest
2025-09-18,TSLA,28825,588056,144879,1638,24.64,498543554,854.14,1.48,69.32,0.78,4925143779,583677,11086,24866,4.23,-6.8,100,highly_bearish,141967269429675,NASDAQ,US,short_interest
2025-09-19,TSLA,28841,690524,286382,4140,41.47,370878074,450.11,0.62,92.63,-1.08,2254343225,823978,7959,113800,16.48,1.52,100,highly_bearish,65017512952225,NYSE,US,short_interest
2025-09-22,TSLA,27968,350671,57761,870,16.47,75818175,174.47,1.96,79.67,-0.19,634225987,434553,7237,23658,6.75,-0.36,100,neutral,17738032404416,NYSE,US,short_interest
2025-09-23,TSLA,28763,332297,46732,511,14.06,617967464,1378.5,0.6,63.68,-0.62,3545677087,448291,1550,8496,2.56,2.66,100,squeeze_watch,101984310053381,NASDAQ,US,short_interest
2025-09-24,TSLA,28430,1283998,443243,6813,34.52,228551285,178.48,0.11,77.42,-0.17,2721840843,1280558,7460,243407,18.96,3.26,100,squeeze_watch,77381935166490,NYSE,US,short_interest
2025-09-25,TSLA,27953,1140181,424695,982,37.25,154631496,118.2,2.19,64.71,-1.27,1507846964,1308221,10928,85480,7.5,-3.79,100,neutral,42148846184692,NASDAQ,US,short_interest
2025-09-26,TSLA,28843,508407,121823,663,23.96,59887716,123.96,2.0,48.6,-0.73,2943589766,483117,1153,53039,10.43,-7.63,100,bearish,84901959620738,NYSE,US,short_interest
2025-09-29,TSLA,29653,499105,70169,1188,14.06,40791890,63.58,2.26,88.4,-1.34,1370411867,641559,1049,17940,3.59,-5.87,100,squeeze_watch,40636823092151,NASDAQ,US,short_interest
2025-09-30,TSLA,27523,300000,86294,995,28.76,203218143,716.77,1.19,84.88,-0.68,1873827579,283521,6211,39468,13.16,5.51,100,neutral,51573356456817,NYSE,US,short_interest
2025-10-01,TSLA,29037,959524,271505,922,28.3,312253609,306.13,0.77,63.87,-0.23,2504352891,1019998,23673,120626,12.57,2.13,100,volatile,72718894895967,NYSE,US,short_interest
2025-10-02,TSLA,29161,658294,196420,2778,29.84,122224252,195.43,3.44,86.76,0.63,1818967911,625410,17733,80599,12.24,-1.76,100,squeeze_watch,53042923252671,NYSE,US,short_interest
2025-10-03,TSLA,28682,300000,103740,654,34.58,6129420,18.56,2.87,84.41,-0.68,587486715,330312,1806,46679,15.56,5.0,100,highly_bearish,16850293959630,NYSE,US,short_interest
2025-10-06,TSLA,28563,458378,51446,146,11.22,609278017,1168.35,3.68,96.09,0.52,3831003779,521484,1954,18517,4.04,0.52,100,volatile,109424960939577,NASDAQ,US,short_interest
2025-10-07,TSLA,28289,300000,57948,450,19.32,36297823,92.95,3.69,49.74,0.51,326634198,390491,3799,15178,5.06,1.96,100,bearish,9240154827222,NASDAQ,US,short_interest
2025-10-08,TSLA,28646,363072,98192,1905,27.04,581975017,1300.79,4.44,61.33,-1.25,3935937166,447402,10112,29584,8.15,-4.86,100,bearish,112748856057236,NYSE,US,short_interest
2025-10-09,TSLA,28306,482841,100314,1624,20.78,22844053,47.25,3.56,45.45,0.77,859928302,483430,5633,37033,7.67,-2.74,100,bearish,24341130516412,NASDAQ,US,short_interest
2025-10-10,TSLA,28847,590289,193335,2573,32.75,465917656,603.78,0.88,78.24,-0.58,4822673605,771671,16908,56510,9.57,5.02,100,highly_bearish,139119665483435,NASDAQ,US,short_interest
2025-10-13,TSLA,28359,609085,92143,1528,15.13,314919850,467.0,0.73,66.1,-0.84,2800944361,674341,4086,43873,7.2,-2.12,100,bearish,79431981133599,NYSE,US,short_interest
2025-10-14,TSLA,28848,300000,98564,1863,32.85,30724503,109.13,2.89,65.58,-0.63,1534759719,281537,2233,35442,11.81,0.51,100,bearish,44274748373712,NASDAQ,US,short_interest
2025-10-15,TSLA,27584,577228,169774,881,29.41,187863704,401.36,1.18,48.17,-0.99,3624787257,468067,12226,73349,12.71,-0.84,100,bearish,99986131697088,NYSE,US,short_interest
2025-10-16,TSLA,27335,414170,73085,392,17.65,60886370,161.91,4.82,65.4,-1.11,998092232,376045,1510,22542,5.44,1.23,100,neutral,27282851161720,NYSE,US,short_interest
2025-10-17,TSLA,28614,590129,236546,2305,40.08,47598217,82.4,3.46,59.27,0.23,898355885,577650,6317,44260,7.5,-2.06,100,highly_bearish,25705555293390,NYSE,US,short_interest
2025-10-20,TSLA,28618,596776,168870,3187,28.3,24329502,34.08,4.01,64.34,0.58,875148659,713916,298,41035,6.88,-9.74,100,squeeze_watch,25045004323262,NASDAQ,US,short_interest
2025-10-21,TSLA,28971,1615888,212899,2585,13.18,167249365,100.57,1.97,87.48,0.05,2692932572,1663077,36857,66282,4.1,-3.72,100,bearish,78016949543412,NYSE,US,short_interest
2025-10-22,TSLA,28315,577158,207290,1326,35.92,145764388,197.25,1.95,67.9,-1.43,1749163276,738993,1247,82904,14.36,-0.43,100,bearish,49527558159940,NYSE,US,short_interest
2025-10-23,TSLA,28125,596284,148158,2163,24.85,49468888,71.92,1.43,53.53,0.59,3381073957,687847,13419,52312,8.77,0.49,100,squeeze_watch,95092705040625,NASDAQ,US,short_interest
2025-10-24,TSLA,28407,300000,27857,468,9.29,418003873,1725.81,3.41,77.46,0.21,2550924405,242207,436,7291,2.43,-4.8,100,squeeze_watch,72464109572835,NASDAQ,US,short_interest
2025-10-27,TSLA,26704,300000,36407,161,12.14,135681970,537.98,5.37,67.32,0.54,791617938,252207,6682,16137,5.38,1.88,100,squeeze_watch,21139365416352,NYSE,US,short_interest
2025-10-28,TSLA,28717,349261,43458,668,12.44,280660778,836.13,2.77,50.19,-0.07,3539775201,335668,948,20839,5.97,0.94,100,highly_bearish,101651724447117,NYSE,US,short_interest
2025-10-29,TSLA,28165,547606,189997,3433,34.7,133114767,257.36,4.53,54.23,-1.2,1637729277,517226,995,31126,5.68,2.36,100,neutral,46126645086705,NASDAQ,US,short_interest
2025-10-30,TSLA,27288,1121514,264448,1099,23.58,642263395,617.7,1.98,59.78,-0.85,4297421154,1039762,29538,93256,8.32,3.8,100,squeeze_watch,117268028450352,NASDAQ,US,short_interest
2025-10-31,TSLA,28732,359850,43145,854,11.99,84843676,248.96,5.8,75.29,-1.01,2436649637,340799,10606,19044,5.29,-7.69,100,highly_bearish,70009817370284,NYSE,US,short_interest
2025-11-03,TSLA,27511,353700,38287,230,10.82,393947211,917.58,2.31,53.05,-1.28,3474831691,429335,10125,9359,2.65,-1.7,100,neutral,95596094651101,NASDAQ,US,short_interest
2025-11-04,TSLA,29284,1010172,139473,1538,13.81,401604361,343.08,3.0,95.93,0.4,2618216900,1170569,11451,25428,2.52,-5.94,100,neutral,76671863699600,NASDAQ,US,short_interest
2025-11-05,TSLA,27969,300000,108504,466,36.17,389234631,1166.42,2.55,60.18,-0.37,3655775134,333701,3419,25075,8.36,-0.21,100,volatile,102248374722846,NASDAQ,US,short_interest
2025-11-06,TSLA,28547,321836,118328,451,36.77,506053898,1577.83,1.99,75.89,-0.52,3046114404,320727,8156,48301,15.01,-1.2,100,neutral,86957427890988,NYSE,US,short_interest
2025-11-07,TSLA,28809,300000,89883,1155,29.96,219452066,855.44,0.36,95.24,-0.01,2450192555,256538,564,36800,12.27,-4.22,100,bearish,70587597316995,NYSE,US,short_interest
2025-11-10,TSLA,28413,988726,119006,1733,12.04,282445975,305.64,1.5,46.4,-1.24,1631299915,924117,7921,18354,1.86,-0.02,100,bearish,46350124484895,NASDAQ,US,short_interest
2025-11-11,TSLA,28083,498906,208421,3248,41.78,17130250,27.33,1.48,57.79,-0.58,103147602,626758,14275,91116,18.26,-2.76,100,bearish,2896694106966,NASDAQ,US,short_interest
2025-11-12,TSLA,27894,480604,149313,777,31.07,350217319,592.41,2.72,51.85,-0.11,3669656573,591177,3352,66631,13.86,-0.16,100,volatile,102361400447262,NYSE,US,short_interest
2025-11-13,TSLA,28040,359973,96841,1028,26.9,615600702,1792.84,1.33,50.02,0.42,3968375705,343367,3646,40563,11.27,-0.9,100,squeeze_watch,111273254768200,NASDAQ,US,short_interest
2025-11-14,TSLA,27904,300000,94152,1213,31.38,121980314,426.03,4.35,59.49,-1.04,1757967945,286321,8199,41069,13.69,-1.11,100,squeeze_watch,49054337537280,NYSE,US,short_interest
2025-11-17,TSLA,28697,546083,142114,628,26.02,416241366,798.09,0.68,89.75,0.33,3829594309,521547,5295,71742,13.14,0.34,100,neutral,109897867885373,NYSE,US,short_interest
2025-11-18,TSLA,28172,649958,123068,1420,18.93,160399012,252.15,3.32,90.86,0.5,941415046,636137,4390,22565,3.47,-2.38,100,bearish,26521544675912,NYSE,US,short_interest
2025-11-19,TSLA,27745,468759,114846,1878,24.5,29806098,59.22,1.71,49.51,-0.09,2737666640,503348,11847,38798,8.28,3.21,100,neutral,75956560926800,NYSE,US,short_interest
2025-11-20,TSLA,28463,742681,206427,3968,27.79,638997202,889.4,4.92,59.01,-0.4,3566613833,718461,9331,88693,11.94,-1.53,100,squeeze_watch,101516529528679,NYSE,US,short_interest
2025-11-21,TSLA,29469,879485,142962,1396,16.26,572780113,751.21,2.41,74.46,-1.22,4259075721,762476,793,64725,7.36,0.9,100,squeeze_watch,125510702422149,NASDAQ,US,short_interest
2025-11-24,TSLA,27743,735896,148981,2749,20.24,597238172,627.69,4.23,89.48,0.51,3320996351,951487,18351,64843,8.81,-2.77,100,volatile,92134401765793,NASDAQ,US,short_interest
2025-11-25,TSLA,28759,1344442,266476,1240,19.82,192005886,110.8,4.23,60.45,0.38,1481980616,1732939,24076,124253,9.24,3.47,100,bearish,42620280535544,NASDAQ,US,short_interest
2025-11-26,TSLA,28335,829175,122518,310,14.78,63779938,80.22,6.66,75.67,-0.78,692043983,795024,11819,54595,6.58,3.22,100,volatile,19609066258305,NASDAQ,US,short_interest
2025-11-27,TSLA,28107,660540,277413,5439,42.0,33412138,47.77,2.58,88.96,-0.45,1123072649,699380,11202,46765,7.08,-2.12,100,highly_bearish,31566202945443,NASDAQ,US,short_interest
2025-11-28,TSLA,27578,300000,49587,307,16.53,309645259,757.24,1.32,52.17,0.13,1839552230,408911,8606,23900,7.97,5.1,100,highly_bearish,50731171398940,NYSE,US,short_interest
2025-12-01,TSLA,28230,300000,102365,1236,34.12,27913265,90.09,2.6,92.73,-0.42,306718650,309841,7434,41206,13.74,-4.0,100,squeeze_watch,8658667489500,NYSE,US,short_interest
2025-12-02,TSLA,28719,493335,58501,889,11.86,716545105,1585.08,1.54,80.93,0.48,4793417244,452056,13446,15973,3.24,-1.0,100,volatile,137662149830436,NYSE,US,short_interest
2025-12-03,TSLA,27914,1027876,182915,3109,17.8,142792646,145.79,4.34,96.81,-0.96,817369136,979432,23015,94280,9.17,0.15,100,squeeze_watch,22816042062304,NYSE,US,short_interest
2025-12-04,TSLA,27450,464738,163422,2549,35.16,387462550,820.62,3.43,63.72,-1.25,3038906399,472159,4008,82896,17.84,2.26,100,highly_bearish,83417980652550,NASDAQ,US,short_interest
2025-12-05,TSLA,27223,691179,145945,2094,21.12,307269395,367.07,2.16,92.25,0.37,2025251436,837098,612,50276,7.27,-3.73,100,volatile,55133419842228,NYSE,US,short_interest
2025-12-08,TSLA,27939,339034,124585,1259,36.75,34279096,78.86,3.96,45.76,-0.27,352818863,434675,4602,40392,11.91,-0.27,100,squeeze_watch,9857406213357,NASDAQ,US,short_interest
2025-12-09,TSLA,29022,300000,104480,1745,34.83,40987759,136.01,2.49,90.44,-0.6,1121032692,301369,6946,48120,16.04,5.76,100,highly_bearish,32534610787224,NASDAQ,US,short_interest
2025-12-10,TSLA,28376,458035,105376,286,23.01,239960488,391.78,2.78,69.85,0.05,2452934002,612489,5793,19904,4.35,0.13,100,bearish,69604455240752,NYSE,US,short_interest
2025-12-11,TSLA,28206,1220455,221877,2089,18.18,188242311,147.66,4.79,51.83,-1.18,1754549049,1274851,23805,50497,4.14,1.4,100,squeeze_watch,49488810476094,NASDAQ,US,short_interest
2025-12-12,TSLA,27196,413752,52367,735,12.66,98212748,177.04,2.03,49.72,-1.3,1728334567,554764,11581,24193,5.85,-0.43,100,bearish,47003786884132,NYSE,US,short_interest
2025-12-15,TSLA,28440,354158,31795,527,8.98,285651337,670.7,5.17,82.71,-0.31,2043633643,425899,3054,5013,1.42,-4.99,100,neutral,58120940806920,NYSE,US,short_interest
2025-12-16,TSLA,27405,440442,168349,3010,38.22,18125646,50.34,2.51,75.94,0.31,1466159056,360081,1114,80774,18.34,3.37,100,highly_bearish,40180088929680,NYSE,US,short_interest
2025-12-17,TSLA,27785,519037,120625,868,23.24,190204037,293.44,2.25,58.56,0.66,3254584919,648177,11627,39045,7.52,-0.77,100,bearish,90428641974415,NYSE,US,short_interest
2025-12-18,TSLA,28047,479200,83279,963,17.38,185270779,343.49,1.88,61.52,-0.41,2881309098,539380,5025,17641,3.68,4.76,100,bearish,80812076271606,NYSE,US,short_interest
2025-12-19,TSLA,28194,606765,254774,1923,41.99,528881962,966.42,1.34,81.38,-0.16,2939395104,547259,14931,77553,12.78,1.09,100,squeeze_watch,82873305562176,NYSE,US,short_interest
2025-12-22,TSLA,28507,901864,287064,5092,31.83,153949592,172.5,0.05,70.97,0.67,4713073706,892482,11641,84290,9.35,0.24,100,highly_bearish,134355592136942,NASDAQ,US,short_interest
2025-12-23,TSLA,28330,848416,261702,1239,30.85,49969652,49.94,4.27,67.27,0.43,607882849,1000680,10619,63574,7.49,-1.36,100,squeeze_watch,17221321112170,NASDAQ,US,short_interest
2025-12-24,TSLA,27872,686399,123925,442,18.05,21610089,38.86,1.58,58.18,-1.3,140025586,556138,9079,24435,3.56,-0.48,100,squeeze_watch,3902793132992,NYSE,US,short_interest
2025-12-25,TSLA,27594,508531,105027,1137,20.65,817327872,1971.93,3.1,61.84,-1.17,4803894394,414482,5515,22458,4.42,-0.53,100,neutral,132558661908036,NASDAQ,US,short_interest
2025-12-26,TSLA,27853,720553,74471,1225,10.34,185128037,290.78,1.04,61.08,-0.94,1289279579,636665,15888,24683,3.43,3.51,100,bearish,35910304113887,NASDAQ,US,short_interest
2025-12-29,TSLA,28178,666264,256406,3275,38.48,238062630,402.35,5.31,72.19,0.64,2448373743,591675,15552,117371,17.62,1.26,100,highly_bearish,68990275330254,NASDAQ,US,short_interest
2025-12-30,TSLA,28174,1502834,585133,11663,38.94,158910505,92.29,5.08,71.13,-0.03,4051274212,1721857,44170,155032,10.32,0.76,100,volatile,114140599648888,NASDAQ,US,short_interest
2025-12-31,TSLA,28054,300000,69535,707,23.18,242637119,711.6,3.84,77.69,-1.33,1572448085,340972,8231,19562,6.52,2.81,100,volatile,44113458576590,NASDAQ,US,short_interest
2026-01-01,TSLA,27744,428557,173178,1285,40.41,373536637,737.15,3.0,60.47,-0.1,3594171857,506732,10438,83427,19.47,0.78,100,neutral,99716704000608,NASDAQ,US,short_interest
2026-01-02,TSLA,26968,643361,222698,1988,34.61,196279754,297.72,4.16,71.53,-0.07,1985426449,659283,6434,86385,13.43,-1.65,100,volatile,53542980476632,NASDAQ,US,short_interest
2026-01-05,TSLA,28254,630140,71226,1173,11.3,484920877,660.65,2.54,90.48,-0.14,3025428347,734002,7202,22073,3.5,1.84,100,bearish,85480452516138,NASDAQ,US,short_interest
2026-01-06,TSLA,28140,1213369,159995,1604,13.19,266777005,178.86,4.2,79.46,-1.08,3166808163,1491569,14197,86585,7.14,-1.9,100,neutral,89113981706820,NASDAQ,US,short_interest
2026-01-07,TSLA,28095,1315060,179283,853,13.63,102725882,89.79,3.86,52.33,-0.47,707873455,1144025,31980,35376,2.69,-2.31,100,squeeze_watch,19887704718225,NYSE,US,short_interest
2026-01-08,TSLA,27723,300000,73363,1220,24.45,116409150,423.2,3.23,80.71,0.58,2321746875,275067,7212,33621,11.21,1.56,100,volatile,64365788615625,NASDAQ,US,short_interest
2026-01-09,TSLA,27379,300000,43718,552,14.57,594410015,2390.07,3.91,68.45,-0.24,3697543439,248700,519,19579,6.53,-1.12,100,volatile,101235041816381,NYSE,US,short_interest
2026-01-12,TSLA,27651,1013298,407970,6569,40.26,393420403,338.45,3.71,74.34,-0.26,4896668690,1162404,8538,83097,8.2,7.07,100,neutral,135397785947190,NYSE,US,short_interest
2026-01-13,TSLA,27179,300000,111438,509,37.15,470665994,1726.03,1.93,45.99,0.54,4232956851,272687,6326,35619,11.87,4.99,100,squeeze_watch,115047534253329,NASDAQ,US,short_interest
2026-01-14,TSLA,28024,461879,155056,2772,33.57,101775976,208.84,2.87,68.04,-0.02,1575300018,487338,1534,44414,9.62,-1.65,100,squeeze_watch,44146207704432,NASDAQ,US,short_interest
2026-01-15,TSLA,27787,484098,160439,2768,33.14,278400535,493.54,2.99,85.11,0.45,4459824366,564090,9668,77561,16.02,3.26,100,bearish,123925139658042,NASDAQ,US,short_interest
2026-01-16,TSLA,26958,473865,109448,1559,23.1,199770834,343.6,0.94,74.15,0.2,1386015774,581402,11376,36457,7.69,5.8,100,bearish,37364213235492,NYSE,US,short_interest
2026-01-19,TSLA,28719,404521,125380,425,30.99,379929731,845.05,2.83,74.33,-0.92,3339294623,449597,2168,54853,13.56,0.66,100,highly_bearish,95901202277937,NYSE,US,short_interest
2026-01-20,TSLA,28646,845397,173128,2980,20.48,187040099,198.65,0.99,49.33,0.52,2343522386,941570,20592,38152,4.51,-5.19,100,neutral,67132542269356,NYSE,US,short_interest
2026-01-21,TSLA,27374,590693,212650,2725,36.0,56684852,74.19,4.14,77.6,-1.46,825577557,764012,13275,73269,12.4,9.73,100,squeeze_watch,22599360045318,NYSE,US,short_interest
2026-01-22,TSLA,27064,1184047,424051,4464,35.81,59591089,55.41,3.27,89.95,-0.19,1575370224,1075403,5944,230959,19.51,0.77,100,bearish,42635819742336,NASDAQ,US,short_interest
2026-01-23,TSLA,28331,629391,224615,2434,35.69,109165202,132.33,2.87,74.07,-0.88,1009420699,824923,1583,90650,14.4,-0.58,100,highly_bearish,28597897823369,NYSE,US,short_interest
2026-01-26,TSLA,27586,1453673,177376,1178,12.2,27583462,19.92,0.05,95.83,0.53,1496897342,1384826,34536,71871,4.94,-3.31,73.48,highly_bearish,41293410076412,NYSE,US,short_interest
2026-01-27,TSLA,28255,509351,88642,610,17.4,103877452,211.45,1.64,91.02,-0.13,4361026401,491264,1188,32339,6.35,1.14,100,highly_bearish,123220800960255,NYSE,US,short_interest
2026-01-28,TSLA,28099,300000,65715,1263,21.91,300907038,1024.43,3.68,83.66,0.3,2824339388,293731,7929,30833,10.28,-1.94,100,volatile,79361112463412,NASDAQ,US,short_interest
2026-01-29,TSLA,28696,578269,168434,2272,29.13,162076727,340.57,1.52,51.26,-0.9,1119412061,475892,11387,83413,14.42,5.15,100,neutral,32122648502456,NASDAQ,US,short_interest
2026-01-30,TSLA,27834,476497,61778,898,12.97,175706726,300.78,0.95,55.11,-0.27,1143877686,584179,12574,11649,2.44,3.12,100,squeeze_watch,31838691512124,NASDAQ,US,short_interest
2026-02-02,TSLA,27703,300000,40440,124,13.48,153288016,465.08,2.85,73.22,-1.32,981247460,329595,2833,18400,6.13,-3.36,100,volatile,27183498384380,NASDAQ,US,short_interest
2026-02-03,TSLA,27663,537224,179830,737,33.47,118227369,157.83,1.24,98.39,0.69,1533970293,749080,9556,62656,11.66,-0.9,100,bearish,42434220215259,NASDAQ,US,short_interest
2026-02-04,TSLA,28352,407255,159650,1344,39.2,384528031,734.02,1.17,57.83,-1.4,4735003482,523868,5960,52215,12.82,1.45,100,volatile,134246818721664,NASDAQ,US,short_interest
2026-02-05,TSLA,28362,1550167,500339,2431,32.28,39582871,19.94,1.29,60.01,-0.66,3836705700,1985278,27759,154271,9.95,-5.19,84.48,bearish,108816647063400,NASDAQ,US,short_interest
2026-02-06,TSLA,28092,690777,243959,2653,35.32,178658941,236.2,2.56,82.62,-0.53,3219196587,756375,10949,76000,11.0,4.15,100,bearish,90433670522004,NYSE,US,short_interest
2026-02-09,TSLA,28454,365167,70837,683,19.4,25588106,51.89,1.54,84.89,-1.25,234987542,493131,22,37577,10.29,-3.26,100,squeeze_watch,6686335520068,NASDAQ,US,short_interest
2026-02-10,TSLA,27940,583679,86893,185,14.89,141592929,236.64,3.59,71.99,0.04,3711342448,598345,3669,27186,4.66,0.52,100,squeeze_watch,103694907997120,NYSE,US,short_interest
2026-02-11,TSLA,28412,330034,89447,215,27.1,855659322,2003.32,5.48,47.6,-0.05,4944027669,427121,4663,46923,14.22,-2.79,100,highly_bearish,140469714131628,NYSE,US,short_interest
2026-02-12,TSLA,27776,550362,169789,2398,30.85,87782246,180.59,0.95,88.73,-0.06,1161201061,486088,7166,37131,6.75,3.36,100,bearish,32253520670336,NASDAQ,US,short_interest
2026-02-13,TSLA,28048,313713,35330,674,11.26,352517838,1216.7,0.81,49.12,-0.68,2395281847,289733,2769,17919,5.71,-0.5,100,volatile,67182865244656,NASDAQ,US,short_interest
2026-02-16,TSLA,27998,975607,78624,1045,8.06,663561184,500.69,0.73,79.45,0.26,4076615028,1325286,19408,30093,3.08,-3.57,100,volatile,114137067553944,NYSE,US,short_interest
2026-02-17,TSLA,29844,656332,98337,571,14.98,151422809,233.97,4.07,52.1,-0.52,1052159720,647200,11453,37861,5.77,-3.7,100,bearish,31400654683680,NASDAQ,US,short_interest
2026-02-18,TSLA,26896,949901,329886,6278,34.73,152726370,133.74,3.31,68.32,0.02,2683291484,1141942,6878,83768,8.82,-3.72,100,volatile,72169807753664,NASDAQ,US,short_interest
